Player,Season,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
George Hill,2012,25.0,50.0,9.0,25.5,3.4,7.6,0.442,1.1,2.9,0.36700000000000005,2.3,4.7,0.489,0.513,1.8,2.3,0.778,0.6,2.4,3.0,2.9,0.8,0.3,1.0,2.0,9.6
Grant Hill,2012,39.0,49.0,46.0,28.1,4.1,9.2,0.446,0.3,1.1,0.264,3.8,8.1,0.47,0.461,1.7,2.2,0.7609999999999999,0.6,2.9,3.5,2.2,0.8,0.6,0.77,1.8,10.2
Kirk Hinrich,2012,31.0,48.0,31.0,25.8,2.5,6.1,0.414,1.0,2.8,0.34600000000000003,1.6,3.3,0.47200000000000003,0.493,0.5,0.7,0.7809999999999999,0.2,1.9,2.1,2.8,0.8,0.2,0.83,2.1,6.6
Darington Hobson,2012,24.0,5.0,0.0,7.8,0.4,2.6,0.154,0.0,1.2,0.0,0.4,1.4,0.28600000000000003,0.154,0.0,0.0,0.0,0.0,0.6,0.6,1.2,0.0,0.0,2.5,0.2,0.8
Jrue Holiday,2012,21.0,65.0,65.0,33.8,5.5,12.8,0.43200000000000005,1.0,2.6,0.38,4.5,10.2,0.445,0.47100000000000003,1.4,1.8,0.7829999999999999,0.9,2.4,3.3,4.5,1.6,0.3,0.48,2.1,13.5
Tyler Honeycutt,2012,21.0,15.0,0.0,5.9,0.5,1.6,0.33299999999999996,0.1,0.2,0.33299999999999996,0.5,1.4,0.33299999999999996,0.354,0.2,0.3,0.6,0.2,0.7,0.9,0.5,0.3,0.2,10.0,0.2,1.3
Al Horford,2012,25.0,11.0,11.0,31.6,5.2,9.4,0.5529999999999999,0.0,0.1,0.0,5.2,9.3,0.5589999999999999,0.5529999999999999,2.0,2.7,0.733,2.4,4.6,7.0,2.2,0.9,1.3,0.67,1.9,12.4
Dennis Horner,2012,23.0,8.0,0.0,2.8,0.1,0.5,0.25,0.0,0.1,0.0,0.1,0.4,0.33299999999999996,0.25,0.4,0.5,0.75,0.3,0.4,0.6,0.0,0.0,0.0,10.0,0.1,0.6
Dwight Howard,2012,26.0,54.0,54.0,38.3,7.7,13.4,0.573,0.0,0.1,0.0,7.7,13.3,0.579,0.573,5.2,10.6,0.491,3.7,10.8,14.5,1.9,1.5,2.1,0.31,2.9,20.6
Josh Howard,2012,31.0,43.0,18.0,23.0,3.3,8.4,0.39899999999999997,0.2,0.9,0.243,3.1,7.5,0.41700000000000004,0.41100000000000003,1.7,2.3,0.773,0.9,2.8,3.7,1.2,0.7,0.2,0.83,2.1,8.7
Juwan Howard,2012,38.0,28.0,0.0,6.8,0.6,2.0,0.309,0.0,0.0,0.0,0.6,2.0,0.309,0.309,0.3,0.4,0.0,0.6,1.0,1.7,0.4,0.1,0.0,1.43,0.6,1.5
Larry Hughes,2012,33.0,9.0,0.0,12.7,0.6,2.4,0.22699999999999998,0.1,0.8,0.14300000000000002,0.4,1.7,0.267,0.25,0.1,0.2,0.5,0.1,0.4,0.6,0.8,0.2,0.0,0.77,1.1,1.3
Kris Humphries,2012,26.0,62.0,62.0,34.9,5.2,10.8,0.48100000000000004,0.0,0.0,0.0,5.2,10.8,0.48100000000000004,0.48100000000000004,3.4,4.5,0.0,3.8,7.2,11.0,1.5,0.8,1.2,0.53,2.8,13.8
Serge Ibaka,2012,22.0,66.0,66.0,27.2,4.0,7.4,0.535,0.0,0.0,0.33299999999999996,4.0,7.4,0.536,0.536,1.2,1.8,0.6609999999999999,2.9,4.6,7.5,0.4,0.5,3.7,0.83,2.7,9.1
Andre Iguodala,2012,28.0,62.0,62.0,35.6,4.6,10.2,0.45399999999999996,1.2,3.1,0.39399999999999996,3.4,7.1,0.48100000000000004,0.514,2.0,3.2,0.617,0.9,5.2,6.1,5.5,1.7,0.5,0.53,1.5,12.4
Ersan Ilyasova,2012,24.0,60.0,41.0,27.6,4.9,10.0,0.49200000000000005,0.9,1.9,0.455,4.1,8.1,0.501,0.535,2.4,3.1,0.7809999999999999,3.3,5.6,8.8,1.2,0.7,0.7,0.77,2.2,13.0
Kyrie Irving,2012,19.0,51.0,51.0,30.5,6.9,14.6,0.469,1.4,3.6,0.39899999999999997,5.4,11.1,0.491,0.517,3.4,3.8,0.872,0.9,2.9,3.7,5.4,1.1,0.4,0.32,2.2,18.5
Royal Ivey,2012,30.0,34.0,0.0,10.4,0.8,2.1,0.35600000000000004,0.5,1.6,0.34,0.2,0.6,0.4,0.479,0.0,0.2,0.125,0.0,0.7,0.7,0.3,0.4,0.0,3.33,1.1,2.1
Jarrett Jack,2012,28.0,45.0,39.0,34.0,5.9,13.0,0.456,0.9,2.5,0.348,5.0,10.5,0.48200000000000004,0.49,2.9,3.3,0.872,0.5,3.4,3.9,6.3,0.7,0.2,0.42,2.1,15.6
Reggie Jackson,2012,21.0,45.0,0.0,11.1,1.1,3.5,0.321,0.3,1.4,0.21,0.8,2.2,0.392,0.36200000000000004,0.6,0.6,0.862,0.3,0.9,1.2,1.6,0.6,0.0,1.25,0.7,3.1
Damion James,2012,24.0,7.0,7.0,24.3,1.9,5.0,0.371,0.0,0.1,0.0,1.9,4.9,0.382,0.371,1.1,1.7,0.667,1.0,3.7,4.7,0.4,1.0,1.0,0.59,2.4,4.9
LeBron James,2012,27.0,62.0,62.0,37.5,10.0,18.9,0.531,0.9,2.4,0.36200000000000004,9.1,16.5,0.556,0.5539999999999999,6.2,8.1,0.7709999999999999,1.5,6.4,7.9,6.2,1.9,0.8,0.29,1.5,27.1
Mike James,2012,36.0,11.0,0.0,10.9,1.8,4.5,0.408,0.5,0.9,0.6,1.3,3.5,0.359,0.469,0.6,0.7,0.875,0.2,0.7,0.9,2.6,0.4,0.2,0.77,1.8,4.8
Antawn Jamison,2012,35.0,65.0,65.0,33.1,6.5,16.1,0.40299999999999997,1.4,4.1,0.341,5.1,12.0,0.425,0.447,2.8,4.2,0.6829999999999999,1.9,4.4,6.3,2.0,0.8,0.7,0.71,2.5,17.2
Al Jefferson,2012,27.0,61.0,61.0,34.0,8.5,17.2,0.49200000000000005,0.0,0.1,0.25,8.4,17.1,0.493,0.493,2.2,2.9,0.774,2.2,7.4,9.6,2.2,0.8,1.7,1.0,2.5,19.2
Jared Jeffries,2012,30.0,39.0,4.0,18.7,1.5,3.7,0.41,0.1,0.4,0.188,1.4,3.3,0.43799999999999994,0.42,1.3,1.8,0.6809999999999999,1.8,2.1,3.9,0.7,0.7,0.6,1.43,2.3,4.4
Charles Jenkins,2012,22.0,51.0,28.0,17.5,2.5,5.7,0.447,0.1,0.4,0.15,2.5,5.3,0.469,0.452,0.7,0.8,0.872,0.2,1.2,1.3,3.3,0.6,0.1,0.83,1.7,5.8
Brandon Jennings,2012,22.0,66.0,66.0,35.3,7.1,17.0,0.418,2.0,5.9,0.332,5.2,11.1,0.46399999999999997,0.47600000000000003,2.9,3.6,0.8079999999999999,0.7,2.7,3.4,5.5,1.6,0.3,0.45,1.7,19.1
Jonas Jerebko,2012,24.0,64.0,13.0,22.9,3.3,7.1,0.46799999999999997,0.5,1.7,0.302,2.8,5.4,0.519,0.503,1.6,1.9,0.8059999999999999,1.5,3.3,4.8,0.7,0.6,0.3,1.0,2.5,8.7
Yi Jianlian,2012,24.0,30.0,0.0,6.8,1.0,2.7,0.37799999999999995,0.1,0.3,0.3,0.9,2.4,0.389,0.396,0.5,0.7,0.667,0.4,1.2,1.6,0.2,0.2,0.3,2.0,0.8,2.6
Amir Johnson,2012,24.0,64.0,43.0,24.3,3.1,5.3,0.5760000000000001,0.0,0.1,0.4,3.0,5.2,0.579,0.579,0.9,1.3,0.69,2.3,4.0,6.4,1.2,0.5,1.1,0.67,3.3,7.1
Carldell Johnson,2012,29.0,15.0,0.0,7.9,0.7,2.3,0.314,0.3,1.0,0.267,0.5,1.3,0.35,0.371,0.1,0.2,0.33299999999999996,0.1,0.5,0.6,1.5,0.5,0.0,2.0,0.7,1.8
Ivan Johnson,2012,27.0,56.0,0.0,16.7,2.5,4.9,0.513,0.0,0.1,0.33299999999999996,2.5,4.8,0.517,0.516,1.3,1.8,0.72,1.2,2.9,4.0,0.6,0.8,0.3,0.83,2.1,6.4
JaJuan Johnson,2012,22.0,36.0,0.0,8.3,1.5,3.4,0.446,0.0,0.0,0.0,1.5,3.4,0.446,0.446,0.2,0.3,0.0,0.6,1.1,1.6,0.2,0.1,0.4,2.5,0.7,3.2
James Johnson,2012,24.0,62.0,40.0,25.2,3.8,8.4,0.45,0.3,1.0,0.317,3.5,7.4,0.467,0.46799999999999997,1.3,1.9,0.7040000000000001,1.2,3.5,4.7,2.0,1.1,1.4,0.62,2.9,9.1
Joe Johnson,2012,30.0,60.0,60.0,35.5,7.1,15.5,0.45399999999999996,2.1,5.4,0.38799999999999996,5.0,10.2,0.489,0.521,2.6,3.1,0.8490000000000001,0.9,2.8,3.7,3.9,0.8,0.2,0.53,1.3,18.8
Trey Johnson,2012,27.0,11.0,0.0,5.5,0.7,1.3,0.5710000000000001,0.0,0.0,0.0,0.7,1.3,0.5710000000000001,0.5710000000000001,0.5,0.5,0.0,0.3,0.8,1.1,0.4,0.1,0.0,2.0,0.9,1.9
Wesley Johnson,2012,24.0,65.0,64.0,22.6,2.4,6.1,0.39799999999999996,0.8,2.6,0.314,1.6,3.5,0.461,0.465,0.4,0.5,0.706,0.4,2.4,2.7,0.9,0.5,0.7,1.11,1.8,6.0
Dahntay Jones,2012,31.0,65.0,3.0,16.2,1.8,4.3,0.409,0.5,1.2,0.429,1.3,3.1,0.402,0.46799999999999997,1.3,1.5,0.838,0.4,1.4,1.8,1.0,0.4,0.2,1.43,1.8,5.3
Dominique Jones,2012,23.0,33.0,1.0,8.1,0.9,2.2,0.397,0.0,0.2,0.125,0.8,2.0,0.431,0.40399999999999997,0.9,1.1,0.784,0.3,1.1,1.3,1.3,0.3,0.2,1.25,0.8,2.7
James Jones,2012,31.0,51.0,10.0,13.1,1.1,2.9,0.38,0.9,2.2,0.40399999999999997,0.2,0.7,0.306,0.5329999999999999,0.5,0.6,0.833,0.1,0.8,1.0,0.4,0.3,0.2,5.0,0.9,3.6
DeAndre Jordan,2012,23.0,66.0,66.0,27.2,3.1,4.9,0.632,0.0,0.0,0.0,3.1,4.9,0.634,0.632,1.1,2.1,0.525,3.1,5.2,8.3,0.3,0.5,2.0,0.91,2.9,7.4
Jerome Jordan,2012,25.0,21.0,0.0,5.1,0.8,1.6,0.515,0.0,0.0,0.0,0.8,1.6,0.515,0.515,0.4,0.5,0.0,0.7,0.6,1.3,0.2,0.0,0.3,10.0,0.7,2.0
Cory Joseph,2012,20.0,29.0,1.0,9.2,0.8,2.4,0.314,0.1,0.5,0.2,0.7,1.9,0.345,0.336,0.4,0.6,0.647,0.2,0.7,0.9,1.2,0.2,0.1,2.5,0.6,2.0
Chris Kaman,2012,29.0,47.0,33.0,29.2,5.7,12.7,0.446,0.0,0.0,0.0,5.7,12.7,0.446,0.446,1.8,2.3,0.0,1.9,5.9,7.7,2.1,0.5,1.6,0.37,2.3,13.1
Enes Kanter,2012,19.0,66.0,0.0,13.2,1.8,3.6,0.496,0.0,0.0,0.0,1.8,3.6,0.498,0.496,1.1,1.6,0.667,1.6,2.6,4.2,0.1,0.3,0.3,1.25,1.3,4.6
Jason Kapono,2012,30.0,27.0,0.0,10.0,0.8,2.0,0.382,0.3,1.0,0.29600000000000004,0.5,1.0,0.46399999999999997,0.455,0.1,0.1,1.0,0.1,0.4,0.5,0.4,0.1,0.0,5.0,0.8,2.0
D.J. Kennedy,2012,22.0,2.0,0.0,29.5,2.5,6.0,0.41700000000000004,1.0,2.0,0.5,1.5,4.0,0.375,0.5,0.0,1.0,0.0,0.5,3.0,3.5,1.5,1.0,0.0,0.67,3.5,6.0
Jason Kidd,2012,38.0,48.0,48.0,28.7,2.1,5.7,0.363,1.6,4.6,0.354,0.4,1.0,0.4,0.507,0.5,0.6,0.7859999999999999,0.3,3.8,4.1,5.5,1.7,0.2,0.53,1.7,6.2
Linas Kleiza,2012,27.0,49.0,3.0,21.6,3.4,8.4,0.402,1.3,3.7,0.34600000000000003,2.1,4.7,0.446,0.478,1.7,2.0,0.81,0.9,3.2,4.1,0.9,0.5,0.1,0.77,2.4,9.7
Brandon Knight,2012,20.0,66.0,60.0,32.3,4.8,11.7,0.415,1.6,4.2,0.38,3.2,7.5,0.434,0.483,1.6,2.1,0.759,0.5,2.7,3.2,3.8,0.7,0.2,0.38,2.3,12.8
Kyle Korver,2012,30.0,65.0,7.0,22.6,2.7,6.3,0.43200000000000005,1.8,4.2,0.435,0.9,2.2,0.426,0.575,0.8,1.0,0.833,0.4,2.0,2.4,1.7,0.6,0.2,1.25,1.7,8.1
Kosta Koufos,2012,22.0,48.0,24.0,16.5,2.4,4.0,0.599,0.0,0.0,0.0,2.4,4.0,0.599,0.599,0.7,1.1,0.0,2.0,3.4,5.4,0.3,0.5,0.9,1.43,2.0,5.5
Carl Landry,2012,28.0,41.0,8.0,24.4,4.4,8.8,0.503,0.0,0.1,0.0,4.4,8.8,0.507,0.503,3.6,4.5,0.799,1.9,3.3,5.2,0.9,0.3,0.3,0.62,2.2,12.5
Ty Lawson,2012,24.0,61.0,61.0,34.8,6.1,12.6,0.488,1.2,3.3,0.365,4.9,9.3,0.531,0.535,2.9,3.5,0.8240000000000001,0.9,2.8,3.7,6.6,1.3,0.1,0.42,1.5,16.4
Courtney Lee,2012,26.0,58.0,26.0,30.3,4.3,10.0,0.433,1.5,3.7,0.401,2.8,6.3,0.452,0.508,1.2,1.5,0.826,0.4,2.3,2.7,1.5,1.2,0.4,0.91,1.8,11.4
David Lee,2012,28.0,57.0,57.0,37.2,8.1,16.2,0.503,0.0,0.1,0.0,8.1,16.1,0.506,0.503,3.8,4.9,0.782,3.0,6.6,9.6,2.8,0.9,0.4,0.38,3.1,20.1
Malcolm Lee,2012,21.0,19.0,0.0,12.8,1.2,3.1,0.39,0.1,0.5,0.2,1.1,2.6,0.429,0.40700000000000003,0.7,0.9,0.8240000000000001,0.5,0.9,1.4,1.6,0.4,0.2,1.11,1.2,3.3
Kawhi Leonard,2012,20.0,64.0,39.0,24.0,3.1,6.3,0.493,0.6,1.7,0.376,2.5,4.6,0.536,0.5429999999999999,1.1,1.4,0.773,1.6,3.5,5.1,1.1,1.3,0.4,1.43,1.4,7.9
Travis Leslie,2012,21.0,10.0,0.0,4.5,0.5,1.4,0.35700000000000004,0.0,0.0,0.0,0.5,1.4,0.35700000000000004,0.35700000000000004,0.4,0.9,0.0,0.6,0.3,0.9,0.5,0.2,0.2,5.0,0.4,1.4
Jon Leuer,2012,22.0,46.0,12.0,12.1,2.1,4.2,0.508,0.1,0.2,0.33299999999999996,2.0,4.0,0.516,0.516,0.5,0.6,0.75,1.0,1.6,2.6,0.5,0.3,0.4,2.5,1.5,4.7
Rashard Lewis,2012,32.0,28.0,15.0,26.0,3.0,7.9,0.385,0.6,2.4,0.239,2.5,5.5,0.44799999999999995,0.42100000000000004,1.1,1.3,0.838,1.2,2.7,3.9,1.0,0.8,0.4,0.91,1.8,7.8
DeAndre Liggins,2012,23.0,17.0,0.0,6.8,0.7,1.5,0.48,0.0,0.2,0.0,0.7,1.2,0.5710000000000001,0.48,0.5,1.1,0.474,0.4,0.5,0.9,0.3,0.4,0.0,1.67,0.4,1.9
Jeremy Lin,2012,23.0,35.0,25.0,26.9,4.9,10.9,0.446,0.7,2.1,0.32,4.2,8.8,0.47700000000000004,0.478,4.2,5.2,0.7979999999999999,0.5,2.5,3.1,6.2,1.6,0.3,0.28,2.2,14.6
Shaun Livingston,2012,26.0,58.0,27.0,18.8,2.2,4.7,0.469,0.0,0.1,0.667,2.2,4.6,0.466,0.47200000000000003,1.1,1.4,0.785,0.7,1.4,2.1,2.1,0.5,0.3,0.91,1.4,5.5
Brook Lopez,2012,23.0,5.0,5.0,27.2,7.6,15.4,0.494,0.0,0.0,0.0,7.6,15.4,0.494,0.494,4.0,6.4,0.0,1.6,2.0,3.6,1.2,0.2,0.8,0.83,1.6,19.2
Robin Lopez,2012,23.0,64.0,0.0,14.0,1.9,4.2,0.461,0.0,0.0,0.0,1.9,4.2,0.461,0.461,1.6,2.2,0.0,1.4,1.9,3.3,0.3,0.3,0.9,1.43,2.0,5.4
Kevin Love,2012,23.0,55.0,55.0,39.0,8.6,19.3,0.44799999999999995,1.9,5.1,0.37200000000000005,6.7,14.1,0.475,0.49700000000000005,6.9,8.4,0.8240000000000001,4.1,9.2,13.3,2.0,0.9,0.5,0.43,2.8,26.0
Kyle Lowry,2012,25.0,47.0,38.0,32.1,4.5,10.9,0.409,1.7,4.5,0.374,2.8,6.4,0.434,0.486,3.6,4.2,0.8640000000000001,0.8,3.7,4.5,6.6,1.6,0.3,0.36,2.8,14.3
John Lucas III,2012,29.0,49.0,2.0,14.8,2.9,7.3,0.39899999999999997,1.1,2.9,0.39299999999999996,1.8,4.4,0.40399999999999997,0.47600000000000003,0.6,0.7,0.875,0.4,1.1,1.6,2.2,0.4,0.0,1.11,0.9,7.5
Shelvin Mack,2012,21.0,64.0,0.0,12.2,1.4,3.4,0.4,0.2,0.7,0.28600000000000003,1.2,2.8,0.42700000000000005,0.42700000000000005,0.7,0.9,0.7120000000000001,0.2,1.3,1.4,2.0,0.4,0.0,1.25,0.8,3.6
Vernon Macklin,2012,25.0,23.0,0.0,5.9,0.8,1.5,0.5429999999999999,0.0,0.0,0.0,0.8,1.5,0.5429999999999999,0.5429999999999999,0.3,0.6,0.0,0.6,0.9,1.5,0.2,0.2,0.2,10.0,0.4,2.0
Corey Maggette,2012,32.0,32.0,28.0,27.5,4.3,11.7,0.373,0.8,2.1,0.364,3.6,9.6,0.375,0.405,5.6,6.5,0.856,0.7,3.3,3.9,1.2,0.7,0.0,0.56,2.6,15.0
Jamaal Magloire,2012,33.0,34.0,1.0,11.0,0.5,1.3,0.37799999999999995,0.0,0.0,0.0,0.5,1.3,0.37799999999999995,0.37799999999999995,0.2,0.8,0.0,0.7,2.6,3.3,0.2,0.1,0.3,1.67,1.9,1.2
Ian Mahinmi,2012,25.0,61.0,12.0,18.7,2.1,3.9,0.546,0.0,0.0,0.0,2.1,3.9,0.5489999999999999,0.546,1.5,2.4,0.639,1.8,3.0,4.7,0.2,0.6,0.5,1.25,2.9,5.8
Shawn Marion,2012,33.0,63.0,63.0,30.5,4.6,10.3,0.446,0.3,1.1,0.294,4.3,9.2,0.46399999999999997,0.461,1.2,1.5,0.7959999999999999,2.3,5.1,7.4,2.1,1.1,0.6,0.62,1.4,10.6
Cartier Martin,2012,27.0,17.0,2.0,23.0,3.5,7.9,0.44,1.7,4.4,0.387,1.8,3.5,0.508,0.5489999999999999,0.6,1.1,0.579,0.7,2.7,3.4,0.6,0.6,0.1,1.25,2.1,9.3
Kenyon Martin,2012,34.0,42.0,0.0,22.4,2.3,5.2,0.441,0.1,0.3,0.231,2.2,4.9,0.45399999999999996,0.44799999999999995,0.5,1.3,0.37,1.2,3.1,4.3,0.4,1.0,1.0,1.25,2.5,5.2
Kevin Martin,2012,28.0,40.0,40.0,31.6,5.6,13.4,0.413,2.0,5.6,0.34700000000000003,3.6,7.8,0.462,0.486,4.0,4.5,0.894,0.3,2.3,2.7,2.8,0.7,0.1,0.56,1.8,17.1
Roger Mason,2012,31.0,52.0,0.0,13.4,2.0,5.0,0.39899999999999997,1.1,3.0,0.38299999999999995,0.8,2.0,0.423,0.514,0.4,0.5,0.778,0.1,1.2,1.3,0.9,0.3,0.1,1.67,0.6,5.5
Wesley Matthews,2012,25.0,66.0,53.0,33.8,4.8,11.6,0.41200000000000003,2.0,5.1,0.38299999999999995,2.8,6.5,0.434,0.496,2.2,2.6,0.86,0.8,2.5,3.4,1.7,1.5,0.2,0.91,2.2,13.7
Jason Maxiell,2012,28.0,65.0,42.0,22.6,2.8,5.9,0.478,0.0,0.0,0.0,2.8,5.9,0.48,0.478,0.9,1.6,0.547,1.9,3.2,5.1,0.6,0.5,0.8,0.91,2.3,6.5
Eric Maynor,2012,24.0,9.0,0.0,15.2,1.6,4.3,0.359,0.7,1.9,0.353,0.9,2.4,0.364,0.436,0.4,0.4,1.0,0.3,1.1,1.4,2.4,0.6,0.0,0.83,1.4,4.2
O.J. Mayo,2012,24.0,66.0,0.0,26.8,4.5,11.2,0.408,1.5,4.2,0.364,3.0,7.0,0.434,0.47600000000000003,2.0,2.6,0.773,0.5,2.7,3.2,2.6,1.1,0.3,0.53,2.1,12.6
Luc Mbah a Moute,2012,25.0,43.0,22.0,23.5,3.1,6.1,0.51,0.0,0.1,0.25,3.1,6.0,0.514,0.511,1.5,2.4,0.6409999999999999,1.8,3.5,5.3,0.7,0.9,0.5,1.11,2.2,7.7
Tracy McGrady,2012,32.0,52.0,0.0,16.1,1.9,4.4,0.43700000000000006,0.3,0.6,0.455,1.7,3.8,0.434,0.47,1.1,1.6,0.675,0.4,2.5,3.0,2.1,0.3,0.3,1.0,0.7,5.3
Dominic McGuire,2012,26.0,64.0,6.0,17.6,1.5,3.3,0.44799999999999995,0.0,0.1,0.0,1.5,3.2,0.456,0.44799999999999995,0.6,0.8,0.736,1.1,2.7,3.8,1.7,0.7,0.6,1.11,1.6,3.5
Josh McRoberts,2012,24.0,50.0,6.0,14.4,1.1,2.4,0.475,0.1,0.1,0.429,1.1,2.2,0.47700000000000004,0.48700000000000004,0.5,0.7,0.639,1.2,2.2,3.4,1.0,0.3,0.4,1.67,1.5,2.8
Jodie Meeks,2012,24.0,66.0,50.0,24.9,2.9,7.1,0.409,1.5,4.0,0.365,1.4,3.0,0.46799999999999997,0.513,1.2,1.3,0.9059999999999999,0.3,2.2,2.4,0.8,0.6,0.0,2.5,1.2,8.4
C.J. Miles,2012,24.0,56.0,14.0,20.4,3.2,8.3,0.381,0.8,2.7,0.307,2.3,5.6,0.41600000000000004,0.43,1.9,2.4,0.794,0.5,1.6,2.1,1.2,0.8,0.3,1.11,2.2,9.1
Darko Milicic,2012,26.0,29.0,23.0,16.3,2.0,4.5,0.45399999999999996,0.0,0.0,0.0,2.0,4.5,0.45399999999999996,0.45399999999999996,0.6,1.3,0.0,1.2,2.1,3.3,0.6,0.3,0.9,0.91,2.0,4.6
Andre Miller,2012,35.0,66.0,7.0,27.4,3.7,8.4,0.43799999999999994,0.3,1.3,0.217,3.4,7.1,0.478,0.455,2.1,2.6,0.8109999999999999,0.8,2.5,3.3,6.7,1.0,0.1,0.37,2.0,9.7
Brad Miller,2012,35.0,15.0,1.0,9.7,0.6,1.8,0.33299999999999996,0.5,1.0,0.467,0.1,0.8,0.16699999999999998,0.46299999999999997,0.7,0.8,0.833,0.3,1.0,1.3,1.6,0.3,0.1,1.25,0.7,2.3
